id,kurs_tamamlama_durumu,kursa_katilim_gun_sayisi,CP_c12,CP_c13
64273006,,,,
65986020,Yes,53.0,,
65883036,Yes,30.0,,
64174018,,,,
68402020,,,,
65436003,,,,
67289077,Yes,59.0,,
64356039,No,17.0,,
66451047,No,,,
64244040,No,,,
64337047,Yes,30.0,,
65434014,,,,
68441001,,,,
65461008,,,,
60983027,No,,,
67577035,Yes,79.0,,
64330034,Yes,29.0,,
64356025,Yes,27.0,,
64264030,Yes,68.0,,
64247009,,,,
65988030,Yes,53.0,,
65240031,,,,
60409031,No,,,
66891012,,,,
64329016,,,,
65358102,Yes,61.0,,
68233038,Yes,73.0,,
64357076,Yes,35.0,,
65984046,,,,
65687017,,,,
67842048,Yes,49.0,,
60929015,Yes,59.0,,
64247030,Yes,79.0,,
68158060,Yes,50.0,,
65179019,No,,,
66837027,Yes,73.0,,
64067023,,,,
64262012,,,,
67034048,Yes,58.0,,
67700044,Yes,48.0,,
68096006,,,,
65984058,,,,
63066037,No,5.0,,
68158025,,,,
67288024,No,,,
68357016,,,,
68402049,Yes,50.0,,
65984015,,,,
68449027,No,18.0,,
68357009,,,,
64352036,No,,,
65358080,,,,
64247020,,,,
67843031,Yes,,,
65497016,Yes,60.0,,
64283011,,,,
68158076,Yes,50.0,,
65987026,No,,,
67579004,,,,
64344019,,,,
65473028,Yes,32.0,,
67573041,No,33.0,,
67842037,Yes,53.0,,
67803044,Yes,88.0,,
68158038,,,,
65883019,,,,
65240082,Yes,25.0,,
65984102,Yes,93.0,,
68096008,,,,
65461004,,,,
64260043,Yes,58.0,,
67289055,No,,,
68386029,Yes,36.0,,
67786019,,,,
64337041,Yes,30.0,,
64329026,Yes,31.0,,
67700034,No,,,
67577010,,,,
67683020,,,,
67700035,No,4.0,,
64067002,,,,
68096038,Yes,59.0,,
64431007,,,,
67826023,,,,
66922054,Yes,20.0,,
64338028,Yes,34.0,,
65497007,,,,
68386012,,,,
67786040,Yes,38.0,,
68357041,Yes,53.0,,
65211023,Yes,24.0,,
67289007,,,,
64298044,No,65.0,,
68405017,,,,
68302041,Yes,33.0,,
64247026,Yes,81.0,,
65240049,,,,
66922059,Yes,20.0,,
68302043,Yes,33.0,,
64345019,Yes,34.0,,
60409013,,,,
68357022,,,,
65358082,,,,
64186015,,,,
66837006,,,,
66837006,,,,
64300004,,,,
62617026,No,,,
65240087,Yes,25.0,,
65042042,Yes,64.0,,
67700037,No,4.0,,
66809029,Yes,80.0,,
68441028,Yes,89.0,,
64431028,,,,
65986019,Yes,53.0,,
67703008,,,,
66922058,Yes,20.0,,
65687020,,,,
65179024,Yes,53.0,,
64345022,Yes,35.0,,
64364004,,,,
64186035,Yes,57.0,,
67573039,No,,,
64298035,Yes,96.0,,
66303023,Yes,30.0,,
65358063,,,,
65358096,,,,
65358045,,,,
64372020,Yes,68.0,,
65480007,,,,
67683030,Yes,,,
64209026,Yes,99.0,,
65987003,,,,
65984027,,,,
68097075,Yes,60.0,,
68304014,,,,
65358178,Yes,61.0,,
64329030,Yes,30.0,,
61177026,Yes,25.0,,
65984070,Yes,93.0,,
64068026,Yes,32.0,,
62617028,Yes,30.0,,
64284028,Yes,26.0,,
66809004,,,,
67407018,,,,
66837006,,,,
64337022,,,,
64283017,,,,
65293035,Yes,30.0,,
64186016,,,,
67032030,,,,
68402027,Yes,48.0,,
65179018,Yes,51.0,,
65358077,,,,
64263040,Yes,53.0,,
64260038,Yes,59.0,,
64244036,No,,,
65436022,Yes,66.0,,
67034030,,,,
65240073,No,,,
64260013,,,,
64352009,,,,
65358108,Yes,61.0,,
68441032,Yes,88.0,,
64353011,,,,
66809012,,,,
66837006,,,,
66809001,,,,
65882002,,,,
64358026,Yes,86.0,,
68405047,No,25.0,,
64264039,Yes,72.0,,
64364016,No,,,
65358100,,,,
65987033,Yes,53.0,,
64431035,No,11.0,,
67826035,Yes,59.0,,
65496016,Yes,56.0,,
64281019,,,,
65043022,,,,
59026005,,,,
64067034,Yes,32.0,,
65461002,,,,
64336010,,,,
65240112,Yes,27.0,,
64431041,Yes,22.0,,
65753048,Yes,65.0,,
64353035,Yes,33.0,,
64273002,,,,
65240022,,,,
67799031,Yes,7.0,,
64295034,Yes,56.0,,
65480005,,,,
64346030,Yes,30.0,,
64262023,,,,
65753008,,,,
67460011,,,,
64357004,,,,
64343017,,,,
67032004,,,,
65211018,,,,
65434037,Yes,100.0,,
65434010,,,,
68097076,No,,,
65436029,Yes,65.0,,
66922028,,,,
65882031,Yes,23.0,,
64354022,Yes,31.0,,
64068013,,,,
65294007,,,,
68405013,,,,
66264008,,,,
65988005,,,,
64186032,No,,,
66837006,,,,
65686006,,,,
64330033,No,,,
65984005,,,,
63066046,No,,,
64264021,Yes,73.0,,
68444034,Yes,37.0,,
67843025,,,,
68302038,No,,,
61177030,No,,,
64298017,,,,
64186047,No,7.0,,
68386005,,,,
59026020,,,,
67843039,Yes,,,
67843016,,,,
66264004,,,,
68158077,No,,,
65436013,,,,
64260028,No,,,
64330021,Yes,28.0,,
67573026,Yes,80.0,,
68304060,Yes,53.0,,
64344011,,,,
65480030,Yes,59.0,,
68444003,,,,
65480026,Yes,58.0,,
60929018,Yes,59.0,,
65686037,Yes,74.0,,
60983021,Yes,57.0,,
59026009,,,,
64338016,,,,
64338026,Yes,32.0,,
66837006,,,,
63066008,,,,
62617020,Yes,30.0,,
64330036,Yes,26.0,,
65240090,Yes,27.0,,
68097014,,,,
64244010,Yes,64.0,,
67034060,Yes,60.0,,
67032049,Yes,48.0,,
60983030,Yes,59.0,,
65493047,No,90.0,,
65882033,Yes,23.0,,
64282004,,,,
64336009,,,,
66837006,,,,
64067048,Yes,32.0,,
64352018,,,,
67577031,Yes,79.0,,
64431052,Yes,27.0,,
68233002,Yes,70.0,,
64295029,Yes,58.0,,
67573003,,,,
64209035,Yes,98.0,,
64263019,,,,
65434032,Yes,99.0,,
64343029,Yes,32.0,,
68304052,Yes,53.0,,
68357039,Yes,53.0,,
64297003,,,,
65358068,,,,
66451031,Yes,100.0,,
67805017,Yes,22.0,,
66891040,Yes,92.0,,
