id,grup,takip_anket_tarih,takip_anket_tamamlama,takip_son_4_hafta_gelir,takip_20_saat_calisma,takip_sgk_kaydi,takip_haftalik_calisma_saat_ort,takip_aylik_gelir_ort,takip_kurs_yeni_yetenekler_ogretti,takip_kurs_yeteneklerimi_sertifikaladi,takip_kurs_is_bulmam_icin_strateji_ogretti,takip_egitimi_kim_verdi
67845020,Kontrol,2012-03-02,1.0,1.0,1.0,1.0,45.0,,1.0,1.0,0.0,Özel
68158050,Deney,2012-03-01,1.0,1.0,1.0,1.0,45.0,600.0,0.0,1.0,0.0,İŞKUR
67288006,Kontrol,2012-03-01,1.0,0.0,,0.0,60.0,600.0,,,,
67289079,Deney,2012-03-02,1.0,1.0,1.0,1.0,60.0,1000.0,,,,
64248010,Kontrol,2012-03-02,1.0,0.0,,,,,,,,
68158023,Kontrol,2012-03-01,1.0,0.0,,1.0,45.0,1200.0,1.0,0.0,1.0,İŞKUR
65358060,Kontrol,2012-03-03,1.0,0.0,,1.0,72.0,630.0,,,,
67407008,Kontrol,2012-03-04,1.0,0.0,,,,,,,,
67843043,Deney,2012-03-01,1.0,0.0,,0.0,100.0,500.0,1.0,1.0,1.0,İŞKUR
67032027,Kontrol,2012-03-01,1.0,0.0,,1.0,50.0,701.0,,,,
67032039,Kontrol,2012-03-02,1.0,0.0,,0.0,66.0,550.0,,,,
67032047,Deney,2012-03-02,1.0,0.0,,0.0,48.0,800.0,1.0,1.0,1.0,İŞKUR
64067024,Kontrol,2012-03-01,1.0,1.0,1.0,,,,,,,
67845046,Deney,2012-03-01,1.0,1.0,1.0,1.0,50.0,750.0,,,,
60929024,Deney,2012-03-03,1.0,1.0,1.0,1.0,40.0,680.0,1.0,1.0,0.0,İŞKUR
64353035,Deney,2012-03-01,1.0,0.0,,0.0,70.0,400.0,0.0,0.0,0.0,İŞKUR
64357050,Kontrol,2012-03-01,1.0,0.0,,1.0,65.0,400.0,,,,
68096003,Kontrol,2012-03-01,1.0,1.0,1.0,1.0,65.0,750.0,,,,
64347004,Kontrol,2012-03-01,1.0,1.0,1.0,,40.0,1500.0,,,,
65988023,Deney,2012-03-01,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
64209003,Kontrol,2012-03-02,1.0,1.0,1.0,1.0,54.0,650.0,1.0,1.0,1.0,Kamu
64298038,Deney,2012-03-02,1.0,1.0,1.0,1.0,48.0,1300.0,,,,
64209002,Kontrol,2012-03-02,1.0,1.0,1.0,0.0,50.0,700.0,,,,
67826019,Kontrol,2012-03-02,1.0,1.0,1.0,0.0,72.0,800.0,,,,
67032036,Kontrol,2012-03-02,1.0,1.0,1.0,1.0,55.0,900.0,1.0,1.0,1.0,İŞKUR
66922064,Deney,2012-03-02,1.0,1.0,1.0,1.0,40.0,1250.0,0.0,1.0,0.0,İŞKUR
68097060,Deney,2012-03-01,1.0,1.0,1.0,1.0,48.0,1200.0,,,,
64067001,Kontrol,2012-03-01,1.0,1.0,0.0,1.0,50.0,600.0,,,,
65686004,Kontrol,2012-03-01,1.0,0.0,,,,,,,,
64343035,Deney,2012-03-02,1.0,1.0,1.0,1.0,72.0,900.0,1.0,1.0,1.0,İŞKUR
68097077,Deney,2012-03-01,1.0,0.0,,1.0,60.0,800.0,1.0,1.0,1.0,İŞKUR
68119015,Kontrol,2012-03-01,1.0,,1.0,1.0,60.0,1300.0,,,,
68304021,Kontrol,2012-03-01,1.0,1.0,1.0,0.0,65.0,750.0,,,,
64357035,Kontrol,2012-03-03,1.0,1.0,1.0,0.0,50.0,700.0,,,,
65043033,Deney,2012-03-01,1.0,0.0,,0.0,98.0,200.0,1.0,1.0,0.0,İŞKUR
65686011,Kontrol,2012-03-01,1.0,0.0,,0.0,45.0,570.0,,,,
67032075,Deney,2012-03-02,1.0,1.0,1.0,1.0,60.0,800.0,1.0,1.0,1.0,İŞKUR
67288009,Kontrol,2012-03-02,1.0,1.0,1.0,1.0,48.0,1000.0,,,,
64284029,Deney,2012-03-02,1.0,1.0,1.0,1.0,60.0,1000.0,,,,
67703002,Kontrol,2012-03-02,1.0,1.0,1.0,1.0,50.0,100.0,,,,
67289070,Deney,2012-03-02,1.0,1.0,0.0,0.0,60.0,800.0,,,,
63066010,Kontrol,2012-03-01,1.0,0.0,,1.0,60.0,700.0,,,,
64067012,Kontrol,2012-03-02,1.0,1.0,1.0,1.0,48.0,900.0,,,,
65686025,Deney,2012-03-02,1.0,1.0,1.0,1.0,48.0,700.0,1.0,1.0,1.0,İŞKUR
64357064,Deney,2012-03-03,1.0,1.0,1.0,1.0,48.0,,,,,
67288025,Deney,2012-03-02,1.0,1.0,1.0,1.0,48.0,750.0,1.0,1.0,1.0,İŞKUR
65434014,Kontrol,2012-03-02,1.0,0.0,,1.0,40.0,650.0,,,,
65480024,Deney,2012-03-02,1.0,0.0,,,,,1.0,1.0,0.0,İŞKUR
65358104,Deney,2012-03-03,1.0,0.0,,,,,,,,
68097079,Deney,2012-03-02,1.0,0.0,,1.0,55.0,350.0,1.0,1.0,1.0,İŞKUR
65459001,Kontrol,2012-03-01,1.0,1.0,1.0,1.0,45.0,700.0,,,,
65042029,Deney,2012-03-02,1.0,1.0,1.0,1.0,48.0,950.0,1.0,1.0,1.0,İŞKUR
64357094,Deney,2012-03-04,1.0,1.0,1.0,1.0,55.0,780.0,1.0,1.0,0.0,İŞKUR
