id,grup,takip_anket_tarih,takip_anket_tamamlama,takip_son_4_hafta_gelir,takip_20_saat_calisma,takip_sgk_kaydi,takip_haftalik_calisma_saat_ort,takip_aylik_gelir_ort,takip_kurs_yeni_yetenekler_ogretti,takip_kurs_yeteneklerimi_sertifikaladi,takip_kurs_is_bulmam_icin_strateji_ogretti,takip_egitimi_kim_verdi
64244031,Deney,2012-01-13,1.0,0.0,,1.0,70.0,850.0,0.0,0.0,0.0,İŞKUR
67573048,Deney,2012-01-05,1.0,1.0,1.0,0.0,35.0,200.0,,,,
67579038,Deney,2012-01-17,1.0,1.0,1.0,0.0,98.0,1500.0,,,,
65749020,Kontrol,2012-01-22,1.0,1.0,1.0,1.0,50.0,800.0,1.0,1.0,1.0,İŞKUR
65493050,Deney,2012-01-24,1.0,1.0,1.0,1.0,56.0,700.0,1.0,1.0,1.0,İŞKUR
68357005,Kontrol,2012-01-19,1.0,0.0,,0.0,56.0,400.0,,,,
65293015,Kontrol,2012-01-24,1.0,1.0,1.0,,,,1.0,1.0,1.0,Kamu
65294007,Kontrol,2012-01-27,1.0,1.0,1.0,1.0,60.0,700.0,,,,
67845026,Deney,2012-01-05,1.0,0.0,,,,,1.0,0.0,0.0,İŞKUR
68357024,Kontrol,2012-01-26,1.0,0.0,,0.0,11.0,400.0,1.0,1.0,1.0,Özel
68096010,Kontrol,2012-01-13,1.0,0.0,,1.0,48.0,500.0,1.0,1.0,0.0,Özel
65882040,Deney,2012-01-18,1.0,0.0,,1.0,54.0,700.0,1.0,1.0,0.0,İŞKUR
68441030,Deney,2012-01-14,1.0,0.0,,,,,1.0,1.0,0.0,İŞKUR
62617018,Deney,2012-01-22,1.0,1.0,1.0,1.0,45.0,900.0,1.0,1.0,1.0,Özel
65358169,Deney,2012-01-30,1.0,0.0,,,,,,,,
67573027,Deney,2012-01-25,1.0,0.0,,,,,,,,
64431012,Kontrol,2012-01-19,1.0,1.0,0.0,1.0,60.0,700.0,,,,
65984077,Deney,2012-01-13,1.0,0.0,,,,,1.0,1.0,0.0,İŞKUR
64297014,Kontrol,2012-01-22,1.0,1.0,1.0,,72.0,650.0,,,,
67579046,Deney,2012-01-18,1.0,1.0,1.0,1.0,60.0,600.0,0.0,0.0,1.0,İŞKUR
66837042,Deney,2012-01-17,1.0,0.0,,1.0,54.0,700.0,1.0,1.0,1.0,İŞKUR
67460036,Deney,2012-01-20,1.0,1.0,1.0,1.0,70.0,1000.0,1.0,1.0,0.0,İŞKUR
67289077,Deney,2012-01-27,1.0,0.0,,1.0,40.0,700.0,0.0,1.0,1.0,İŞKUR
68405006,Kontrol,2012-01-13,1.0,0.0,,1.0,78.0,650.0,,,,
68097046,Deney,2012-01-18,1.0,0.0,,0.0,60.0,1800.0,1.0,1.0,1.0,İŞKUR
65984106,Deney,2012-01-23,1.0,1.0,1.0,1.0,54.0,680.0,1.0,1.0,1.0,İŞKUR
68402046,Deney,2012-01-13,1.0,0.0,,1.0,45.0,580.0,1.0,1.0,1.0,İŞKUR
68119023,Deney,2012-01-25,1.0,0.0,,1.0,60.0,570.0,1.0,1.0,1.0,İŞKUR
64244024,Deney,2012-01-11,1.0,1.0,1.0,1.0,45.0,675.0,,,,
64281015,Kontrol,2012-01-26,1.0,1.0,1.0,1.0,66.0,700.0,1.0,1.0,1.0,Özel
68402024,Kontrol,2012-01-13,1.0,1.0,1.0,1.0,45.0,730.0,,,,
67034051,Deney,2012-01-14,1.0,0.0,,,,,0.0,1.0,1.0,İŞKUR
67034052,Deney,2012-01-14,1.0,0.0,,,,,0.0,1.0,1.0,İŞKUR
59026015,Kontrol,2012-01-26,1.0,1.0,1.0,1.0,48.0,700.0,,,,
59026001,Kontrol,2012-01-25,1.0,1.0,1.0,1.0,48.0,700.0,,,,
68097003,Kontrol,2012-01-14,1.0,0.0,,,,,1.0,1.0,1.0,Kamu
64337016,Kontrol,2012-01-31,1.0,0.0,,0.0,60.0,400.0,,,,
64431044,Deney,2012-01-25,1.0,1.0,1.0,1.0,48.0,,1.0,1.0,0.0,İŞKUR
68449018,Kontrol,2012-01-09,1.0,0.0,,1.0,16.0,750.0,,,,
64068029,Deney,2012-01-25,1.0,0.0,,0.0,14.0,600.0,1.0,1.0,1.0,İŞKUR
64067021,Kontrol,2012-01-27,1.0,0.0,,1.0,45.0,620.0,,,,
65211035,Deney,2012-01-27,1.0,0.0,,0.0,60.0,650.0,1.0,1.0,1.0,İŞKUR
65358120,Deney,2012-01-28,1.0,0.0,,,,,1.0,1.0,0.0,İŞKUR
64247022,Deney,2012-01-18,1.0,0.0,,1.0,40.0,1100.0,,,,
66542009,Kontrol,2012-01-27,1.0,0.0,,0.0,40.0,600.0,,,,
68386032,Deney,2012-01-14,1.0,1.0,0.0,1.0,75.0,680.0,0.0,1.0,0.0,İŞKUR
68405039,Deney,2012-01-21,1.0,1.0,1.0,1.0,40.0,800.0,1.0,0.0,0.0,İŞKUR
60409027,Deney,2012-01-19,1.0,1.0,1.0,1.0,40.0,2000.0,,,,
68402017,Kontrol,2012-01-21,1.0,0.0,,,,,,,,
64068018,Kontrol,2012-01-25,1.0,1.0,1.0,1.0,20.0,750.0,1.0,1.0,1.0,İŞKUR
64296001,Kontrol,2012-01-26,1.0,1.0,0.0,0.0,28.0,700.0,,,,
68302027,Kontrol,2012-01-21,1.0,0.0,,0.0,50.0,750.0,,,,
65293030,Deney,2012-01-27,1.0,1.0,1.0,1.0,56.0,700.0,1.0,1.0,1.0,İŞKUR
61177025,Deney,2012-01-16,1.0,1.0,1.0,1.0,40.0,800.0,1.0,1.0,1.0,İŞKUR
68302036,Deney,2012-01-15,1.0,0.0,,,,,0.0,1.0,0.0,İŞKUR
64247028,Deney,2012-01-28,1.0,1.0,1.0,1.0,50.0,650.0,1.0,1.0,1.0,İŞKUR
67703039,Deney,2012-01-30,1.0,0.0,,1.0,45.0,1000.0,,,,
64244023,Deney,2012-01-11,1.0,1.0,1.0,,,,0.0,1.0,0.0,İŞKUR
64248016,Kontrol,2012-01-12,1.0,0.0,,1.0,20.0,500.0,1.0,1.0,1.0,Özel
68444022,Kontrol,2012-01-11,1.0,1.0,1.0,1.0,40.0,1400.0,,,,
68357039,Deney,2012-01-18,1.0,0.0,,0.0,72.0,650.0,1.0,0.0,0.0,İŞKUR
64244001,Kontrol,2012-01-13,1.0,0.0,,1.0,54.0,700.0,0.0,1.0,0.0,İŞKUR
67799045,Deney,2012-01-18,1.0,0.0,,,,,,,,
66451035,Deney,2012-01-13,1.0,0.0,,,,,1.0,1.0,1.0,İŞKUR
64067008,Kontrol,2012-01-27,1.0,0.0,,,,,,,,
67826041,Deney,2012-01-23,1.0,0.0,,,,,1.0,0.0,0.0,İŞKUR
67289005,Kontrol,2012-01-20,1.0,0.0,,0.0,72.0,350.0,,,,
67579009,Kontrol,2012-01-10,1.0,1.0,0.0,,,,0.0,1.0,0.0,Özel
65883029,Deney,2012-01-16,1.0,1.0,1.0,1.0,40.0,850.0,1.0,1.0,1.0,İŞKUR
65240058,Kontrol,2012-01-27,1.0,0.0,,,,,,,,
65293002,Kontrol,2012-01-28,1.0,1.0,1.0,1.0,48.0,1500.0,,,,
65883010,Kontrol,2012-01-18,1.0,1.0,1.0,1.0,72.0,700.0,,,,
64295005,Kontrol,2012-01-22,1.0,0.0,,1.0,45.0,580.0,,,,
