id,kursu_veren_kurum,kursu_tamamlama_durumu,sertifika_alma_durumu
64373038,"Kamu Ofisi, Meslek Lisesi",0.0,0.0
64373014,"Kamu Ofisi, Meslek Lisesi",,
64431038,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67034017,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
64186049,Universite,0.0,0.0
68119032,Ozel Isletme,1.0,1.0
64431034,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64284011,Meslek Lisesi,,
64345004,Kamu Ofisi,,
64282021,Kamu Ofisi,0.0,0.0
67034065,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
68304039,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
65358092,Halk Egitim Merkezi (Hem),,
68097045,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67289047,Kamu Ofisi,1.0,1.0
64247021,Meslek Lisesi,1.0,1.0
67700026,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64352018,Kamu Ofisi,,
66922025,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
66891035,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
66264021,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
64357041,Kamu Ofisi,,
65232024,Meslek Lisesi,1.0,1.0
64283027,Kamu Ofisi,1.0,1.0
68097013,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68357009,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,,
68304073,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,0.0,0.0
66086041,5580 Sayili Kanun Kapsaminda Ozel Ogretim Kurumu,1.0,1.0
67845007,Universite,,
65358101,Halk Egitim Merkezi (Hem),1.0,1.0
